Age	Workclass	Education	Marital_Status	Occupation	Relationship	Race	Sex	Hours_Per_Week	Native_Country	Income	
121.jpg	1	1	1	0	1	0	1	1	1	1	0
122.jpg	0	1	1	1	1	0	0	1	0	0	0
123.jpg	0	0	1	0	1	0	1	1	1	1	1
124.jpg	0	1	1	1	1	0	0	1	0	1	0
125.jpg	1	1	1	0	1	0	1	0	0	1	1
126.jpg	0	1	1	1	1	0	1	0	0	1	0
127.jpg	0	1	1	0	1	0	1	1	0	1	1
128.jpg	0	0	0	0	1	0	1	1	0	1	0
129.jpg	1	1	1	1	0	1	1	1	0	1	0
130.jpg	0	1	1	1	1	1	1	0	1	1	0
131.jpg	0	1	0	1	1	1	1	0	0	1	0
132.jpg	1	0	0	0	0	0	1	1	0	1	0
133.jpg	0	1	1	0	1	0	1	1	1	1	0
134.jpg	1	1	1	1	1	1	0	0	0	1	0
135.jpg	1	0	1	0	1	0	1	1	0	0	1
136.jpg	1	0	0	0	0	0	1	1	1	1	0
137.jpg	0	1	1	0	1	0	1	0	0	1	0
138.jpg	0	1	1	1	1	0	1	1	0	1	0
139.jpg	1	1	1	0	0	0	0	1	0	1	1
140.jpg	1	0	0	0	0	0	1	1	0	1	0
141.jpg	0	1	1	1	1	0	1	0	0	1	0
142.jpg	0	1	1	1	1	0	1	1	0	0	0
143.jpg	1	1	1	1	1	1	1	0	0	1	1
144.jpg	1	1	1	1	1	0	1	1	0	1	0
145.jpg	0	1	0	1	1	0	0	0	0	1	0
146.jpg	0	1	1	0	1	0	1	1	0	1	0
147.jpg	0	1	0	1	1	0	1	0	0	1	0
148.jpg	1	1	0	0	0	0	1	1	0	1	0
149.jpg	1	0	1	1	1	1	1	0	0	1	0
150.jpg	1	0	1	1	1	0	1	0	0	0	0
151.jpg	0	1	0	1	1	1	1	0	0	1	0
152.jpg	0	1	1	1	1	0	0	0	0	0	0
153.jpg	0	1	0	1	0	0	1	1	0	1	0
154.jpg	1	0	0	1	1	1	1	1	1	1	1
155.jpg	1	1	0	0	0	0	1	1	1	1	0
156.jpg	0	1	1	1	1	1	1	1	0	1	0
157.jpg	1	0	1	1	1	0	0	1	0	1	0
158.jpg	0	1	0	1	0	1	1	1	1	1	0
159.jpg	1	1	1	1	1	0	0	1	1	1	0
160.jpg	1	0	0	1	1	1	1	0	0	1	0
161.jpg	0	1	0	1	1	0	1	0	0	1	0
162.jpg	1	0	1	1	1	0	0	0	0	1	0
163.jpg	0	1	0	1	1	1	0	0	0	0	0
164.jpg	1	0	1	0	1	0	1	1	0	1	1
165.jpg	0	1	1	1	1	0	1	0	0	0	0
166.jpg	1	0	1	1	1	1	1	1	1	1	0
167.jpg	1	0	1	1	1	0	1	1	0	1	0
168.jpg	0	1	0	1	1	0	1	1	0	1	0
169.jpg	1	0	1	1	1	1	1	0	0	1	0
170.jpg	0	1	0	1	1	1	1	1	0	1	0
171.jpg	0	0	0	0	1	0	1	1	0	1	0
172.jpg	1	1	1	0	1	0	1	1	0	1	1
173.jpg	0	1	1	1	0	1	1	1	1	1	0
174.jpg	0	0	1	0	1	0	1	1	0	1	1
175.jpg	0	1	0	1	1	0	1	0	0	1	0
176.jpg	0	1	0	1	0	0	0	1	0	1	0
177.jpg	0	1	0	1	1	1	0	1	0	1	0
178.jpg	0	1	0	1	1	0	1	1	0	1	0
179.jpg	0	1	1	0	1	0	1	1	1	1	0
180.jpg	1	0	1	0	1	0	0	1	0	1	1
181.jpg	1	1	1	1	1	1	1	0	0	1	0
182.jpg	0	1	1	1	0	1	0	1	1	1	0
183.jpg	1	1	0	0	1	0	1	1	0	0	1
184.jpg	0	0	1	0	1	0	1	1	1	1	1
185.jpg	0	1	0	0	1	0	0	1	0	1	0
186.jpg	1	0	1	1	1	1	1	0	0	1	0
187.jpg	1	0	1	1	1	1	1	0	1	1	0
188.jpg	0	1	1	0	1	0	1	0	1	1	0
189.jpg	1	0	1	0	1	0	1	1	0	1	1
190.jpg	1	1	1	1	1	1	0	0	0	1	0
191.jpg	0	1	1	0	1	0	1	1	0	1	0
192.jpg	1	0	1	0	0	0	0	1	0	1	0
193.jpg	1	1	1	0	1	0	1	1	1	1	0
194.jpg	1	0	1	0	1	0	1	1	0	1	0
195.jpg	0	1	0	0	1	0	1	1	0	0	0
196.jpg	0	1	1	1	0	1	1	1	0	1	0
197.jpg	1	0	1	1	1	1	1	0	1	1	1
198.jpg	0	1	1	0	1	0	1	1	0	1	1
199.jpg	0	0	0	1	1	1	1	1	0	1	0
200.jpg	0	1	1	1	1	1	1	0	0	1	0
201.jpg	0	0	0	1	1	0	1	1	0	0	0
202.jpg	1	1	1	0	1	0	1	1	1	1	1
203.jpg	1	0	1	1	1	1	1	0	0	1	0
204.jpg	0	0	0	1	1	0	1	0	0	1	0
205.jpg	0	1	0	1	1	0	1	0	0	1	0
206.jpg	0	1	1	0	1	0	0	1	0	1	1
207.jpg	0	1	0	1	0	1	1	1	1	1	0
208.jpg	1	0	0	0	1	0	1	0	0	1	1
209.jpg	0	1	0	1	1	0	1	0	0	1	0
210.jpg	1	0	0	0	1	0	0	1	0	1	0
211.jpg	0	1	0	0	0	0	1	1	0	1	1
212.jpg	0	1	1	1	1	1	0	0	0	1	0
213.jpg	1	1	0	0	0	0	0	1	0	1	0
214.jpg	1	0	0	0	1	0	1	1	0	1	1
215.jpg	0	1	1	1	1	1	0	1	1	1	1
216.jpg	1	1	1	1	1	1	1	0	0	1	0
217.jpg	1	1	1	0	1	0	1	1	1	0	0
218.jpg	1	1	1	0	1	0	1	1	1	1	0
219.jpg	0	1	0	1	0	1	1	1	0	1	0
220.jpg	0	1	1	0	1	0	1	1	0	1	0
221.jpg	1	0	0	1	1	1	1	1	0	1	0
222.jpg	1	1	0	1	1	1	0	1	0	1	0
223.jpg	1	1	0	0	1	0	0	1	0	1	0
224.jpg	1	0	0	1	1	1	1	0	0	1	0
225.jpg	0	1	0	1	1	0	1	0	0	1	0
226.jpg	1	0	0	1	1	1	0	0	0	1	0
227.jpg	1	0	0	0	1	0	1	1	1	1	0
228.jpg	1	1	1	1	1	1	1	0	0	0	0
229.jpg	1	1	0	1	1	1	1	0	0	1	0
230.jpg	0	1	0	1	1	1	0	1	0	1	0
231.jpg	1	1	0	1	1	0	0	0	0	1	0
232.jpg	0	1	1	1	1	1	1	1	1	1	0
233.jpg	0	1	1	1	0	0	0	0	0	1	0
234.jpg	0	1	1	1	1	1	1	1	1	1	1
235.jpg	1	0	0	0	1	0	1	1	0	1	0
236.jpg	1	0	1	1	1	1	1	0	0	1	0
237.jpg	1	1	1	0	1	0	1	1	1	0	1
238.jpg	1	0	1	0	1	0	1	1	1	1	1
239.jpg	0	1	0	1	1	0	1	1	0	1	0
240.jpg	1	1	1	0	1	0	1	1	0	1	1
241.jpg	1	0	0	0	1	0	1	0	0	1	0
242.jpg	0	0	1	0	1	0	1	1	1	1	0
243.jpg	0	0	1	1	1	0	1	1	0	1	0
244.jpg	1	1	1	1	0	1	1	1	0	1	0
245.jpg	1	1	0	0	1	0	1	1	0	0	0
246.jpg	1	1	0	0	1	0	1	1	1	1	1
247.jpg	0	1	0	1	1	1	1	0	0	1	0
248.jpg	1	1	1	0	1	0	1	1	1	1	1
249.jpg	1	1	0	0	1	0	1	1	0	0	0
250.jpg	1	1	1	0	1	0	1	0	0	1	1
251.jpg	1	1	1	0	1	0	0	0	0	1	0
252.jpg	1	0	0	1	1	0	0	0	0	1	0
253.jpg	0	0	1	1	1	0	1	1	0	1	0
254.jpg	1	1	1	1	1	1	1	1	0	1	0
255.jpg	1	0	0	0	1	0	0	1	0	0	1
256.jpg	0	1	0	1	1	0	1	0	0	1	0
257.jpg	0	1	0	1	1	1	1	0	0	1	0
258.jpg	1	1	1	1	1	1	1	0	1	1	0
259.jpg	1	1	0	1	0	1	1	1	0	1	0
260.jpg	0	1	1	1	1	0	1	0	0	1	0
261.jpg	1	1	0	0	1	0	1	1	1	1	0
262.jpg	0	1	0	1	1	0	1	1	0	1	0
263.jpg	1	1	1	0	1	0	1	1	0	1	0
264.jpg	0	1	0	0	0	0	1	1	0	1	0
265.jpg	0	0	1	0	1	0	0	1	1	0	1
266.jpg	0	0	1	1	1	0	1	1	0	0	0
267.jpg	1	1	0	0	1	0	1	1	0	1	1
268.jpg	0	1	1	1	1	1	1	0	1	1	0
269.jpg	0	1	0	0	0	0	1	0	0	1	1
270.jpg	1	1	0	0	1	0	1	1	0	1	1
271.jpg	0	1	0	1	1	0	1	1	0	1	0
272.jpg	1	0	1	0	1	0	1	1	1	1	0
273.jpg	0	0	1	1	1	0	1	1	0	1	0
274.jpg	0	1	0	1	1	0	1	0	0	1	0
275.jpg	1	1	0	0	1	0	0	1	0	1	0
276.jpg	1	1	1	0	0	0	1	1	0	1	1
277.jpg	0	1	1	1	1	1	1	0	0	1	0
278.jpg	0	1	1	1	1	0	1	0	0	1	0
279.jpg	0	1	1	0	1	0	1	0	1	1	1
280.jpg	0	1	1	1	1	1	1	0	0	0	0
281.jpg	1	0	1	0	0	0	1	1	0	1	1
282.jpg	0	1	1	1	1	0	0	0	1	1	0
283.jpg	1	1	1	1	1	1	1	0	1	1	0
284.jpg	0	1	0	1	1	0	1	1	0	1	0
285.jpg	1	0	1	0	1	0	1	1	0	1	1
286.jpg	1	1	1	0	1	0	1	1	1	1	1
287.jpg	1	1	1	1	1	1	1	1	1	1	0
288.jpg	0	1	1	1	1	1	1	0	0	1	0
289.jpg	1	1	0	0	0	0	1	1	0	0	0
290.jpg	0	1	1	0	1	0	1	1	1	1	0
291.jpg	0	1	0	1	1	1	1	0	0	1	0
292.jpg	0	0	1	1	1	1	1	1	1	1	0
293.jpg	0	1	1	1	1	0	1	1	1	1	0
294.jpg	0	1	1	1	1	0	0	0	0	1	0
295.jpg	1	1	0	0	1	0	1	1	0	1	0
296.jpg	0	0	1	1	1	1	1	0	1	1	0
297.jpg	1	0	1	0	1	0	0	0	0	0	0
298.jpg	0	1	0	1	0	0	1	1	0	1	0
299.jpg	1	1	0	1	1	1	1	1	1	1	0
300.jpg	1	1	1	0	1	0	1	1	0	1	1
301.jpg	0	1	1	1	1	1	0	0	0	1	0
302.jpg	0	1	0	0	1	0	1	1	1	1	1
303.jpg	1	1	0	0	1	0	1	1	0	1	1
304.jpg	0	1	1	0	1	0	0	0	0	0	0
305.jpg	1	1	0	1	1	1	1	0	0	1	0
306.jpg	0	1	1	1	1	1	1	1	1	1	0
307.jpg	1	1	1	1	1	1	1	0	0	1	0
308.jpg	0	1	1	0	1	0	1	1	0	1	1
309.jpg	1	0	1	0	1	0	1	1	1	1	1
310.jpg	0	1	1	1	1	1	1	1	0	1	0
311.jpg	0	1	1	0	1	0	0	1	0	0	1
312.jpg	0	0	1	1	1	0	0	0	0	1	0
313.jpg	0	0	1	1	1	1	0	0	0	1	1
314.jpg	0	1	1	1	1	0	1	1	0	1	0
315.jpg	0	1	1	1	1	1	1	1	0	1	0
316.jpg	1	0	1	0	1	0	1	1	0	1	0
317.jpg	0	1	0	0	1	0	1	0	0	0	0
318.jpg	0	1	1	1	1	1	1	0	0	1	0
319.jpg	1	1	0	1	1	1	1	0	0	1	0
320.jpg	1	0	0	0	1	0	1	1	0	1	0
321.jpg	1	1	1	0	0	0	1	1	1	1	0
322.jpg	0	1	0	1	1	1	1	1	1	1	0
323.jpg	0	1	0	1	1	1	1	0	0	1	0
324.jpg	1	0	1	0	0	0	1	1	0	1	0
325.jpg	1	0	0	0	1	0	1	1	1	1	0
326.jpg	0	0	1	1	1	0	0	0	0	1	0
327.jpg	1	1	1	0	1	0	1	0	1	1	1
328.jpg	1	0	0	0	1	0	1	1	0	1	0
329.jpg	1	1	0	1	1	1	1	1	1	1	0
330.jpg	1	1	1	1	0	1	0	1	1	1	0
331.jpg	0	1	1	1	1	1	1	1	0	1	0
332.jpg	1	1	1	1	1	1	1	1	0	1	0
333.jpg	1	0	0	0	1	0	1	1	0	1	0
334.jpg	1	1	0	0	1	0	1	1	0	1	0
335.jpg	0	1	0	1	1	0	1	1	1	0	0
336.jpg	0	1	0	1	0	0	1	1	0	1	0
337.jpg	1	1	1	1	1	1	1	1	1	1	0
338.jpg	0	1	0	1	1	0	0	1	0	0	0
339.jpg	1	1	0	0	1	0	0	1	0	1	0
340.jpg	0	1	1	1	1	1	1	1	0	1	0
341.jpg	1	1	1	0	0	0	1	1	0	1	1
342.jpg	0	0	0	0	1	0	1	1	0	1	1
343.jpg	0	1	0	1	1	1	1	1	0	1	0
344.jpg	0	0	1	1	1	0	0	0	0	1	0
345.jpg	1	0	1	1	1	1	1	1	1	1	0
346.jpg	1	0	0	0	1	0	1	1	0	1	0
347.jpg	0	0	1	1	1	0	1	0	0	1	0
348.jpg	1	1	1	1	1	1	1	1	0	0	0
349.jpg	0	1	1	1	1	0	1	1	0	1	0
350.jpg	0	1	1	0	1	0	1	1	0	1	1
351.jpg	0	1	0	0	1	0	1	1	0	1	0
352.jpg	0	1	1	0	1	0	1	1	0	1	1
353.jpg	1	0	0	0	1	0	1	1	0	1	0
354.jpg	1	0	1	0	1	0	1	1	0	1	1
355.jpg	1	0	0	0	1	0	1	1	0	1	1
356.jpg	1	1	0	1	1	0	0	1	0	1	0
357.jpg	1	1	1	0	1	0	1	1	0	1	1
358.jpg	1	1	0	0	1	0	1	0	0	1	0
359.jpg	0	0	0	0	0	0	1	1	0	0	0
360.jpg	0	1	0	0	1	0	1	0	0	1	0
361.jpg	1	1	1	0	1	0	1	1	0	1	1
362.jpg	1	1	1	0	1	0	1	1	1	1	0
363.jpg	1	1	1	1	1	1	1	1	1	1	1
364.jpg	0	1	0	1	1	1	1	1	1	1	0
365.jpg	0	1	0	0	0	0	1	1	0	1	0
366.jpg	1	0	1	0	1	0	1	1	1	1	0
367.jpg	0	1	1	1	1	1	1	0	0	1	0
368.jpg	1	1	1	1	1	1	1	0	1	1	1
369.jpg	1	1	0	1	1	0	1	0	0	1	0
370.jpg	0	0	1	1	1	0	1	0	0	1	0
371.jpg	0	1	0	1	1	0	1	1	0	1	0
372.jpg	1	0	1	0	1	0	1	1	0	1	1
373.jpg	1	1	0	0	1	0	0	1	0	1	0
374.jpg	1	1	0	1	0	1	0	1	0	1	0
375.jpg	0	0	1	1	1	0	1	0	0	1	0
376.jpg	0	1	0	0	0	0	1	0	0	1	0
377.jpg	0	1	1	1	1	1	1	1	0	1	0
378.jpg	1	0	1	1	1	1	1	1	0	1	0
379.jpg	1	1	0	0	1	0	1	1	1	1	0
380.jpg	1	1	0	1	1	1	1	1	0	1	0
381.jpg	1	1	0	1	0	1	1	0	1	1	0
382.jpg	0	1	1	0	0	0	1	1	0	1	0
383.jpg	1	1	1	1	1	1	1	0	0	1	0
384.jpg	0	0	1	0	1	0	1	0	0	1	0
385.jpg	0	1	0	1	1	1	1	0	0	1	0
386.jpg	0	1	0	1	1	1	1	1	0	1	0
387.jpg	1	1	1	0	1	0	1	0	0	1	1
388.jpg	0	1	1	1	1	0	1	0	0	1	0
389.jpg	0	1	0	1	1	0	1	0	0	1	0
390.jpg	0	1	0	0	1	0	1	0	0	1	1
391.jpg	0	1	1	1	0	1	1	1	1	1	0
392.jpg	1	0	1	1	0	1	1	1	0	1	0
393.jpg	0	0	1	0	1	0	1	1	1	0	1
394.jpg	0	1	0	1	1	1	1	0	0	1	0
395.jpg	1	1	1	0	1	0	1	1	0	1	0
396.jpg	1	1	1	1	1	0	1	0	0	1	0
397.jpg	0	0	0	1	1	0	1	0	0	1	0
398.jpg	0	1	1	0	1	0	1	1	1	1	1
399.jpg	1	0	1	0	1	0	1	1	1	1	1
400.jpg	0	1	1	1	1	0	1	1	0	1	0
401.jpg	0	1	1	1	1	1	1	0	0	1	0
402.jpg	1	0	1	0	1	0	1	1	0	1	1
403.jpg	0	1	1	1	1	1	1	0	1	1	0
404.jpg	0	1	0	0	1	0	0	1	0	0	0
405.jpg	1	1	1	0	1	0	1	1	1	1	1
406.jpg	0	1	0	0	1	0	1	1	0	1	0
407.jpg	1	0	0	0	0	0	1	1	0	1	0
408.jpg	0	0	1	0	1	0	1	0	0	1	1
409.jpg	0	1	1	0	1	0	1	1	1	1	0
410.jpg	1	0	1	1	1	1	0	0	0	1	0
411.jpg	0	1	0	1	1	0	0	0	0	1	0
412.jpg	0	1	1	1	1	0	1	0	0	1	0
413.jpg	1	1	1	0	1	0	1	1	1	1	1
414.jpg	0	0	1	0	1	0	1	1	0	1	0
415.jpg	0	1	0	1	0	1	1	1	1	1	1
416.jpg	1	1	0	0	1	0	1	1	0	0	0
417.jpg	0	1	0	1	1	0	1	0	0	1	0
418.jpg	0	0	0	1	1	1	0	1	0	1	0
419.jpg	0	0	0	1	1	0	1	0	0	1	0
420.jpg	0	1	1	0	1	0	1	1	0	1	0
421.jpg	0	1	0	1	1	0	1	1	0	1	0
422.jpg	0	0	1	0	1	0	1	0	0	1	1
423.jpg	0	1	0	1	1	1	1	1	0	1	0
424.jpg	0	1	0	1	0	0	1	0	0	1	0
425.jpg	0	1	0	0	1	0	1	1	1	1	0
426.jpg	0	0	1	1	1	1	1	1	0	1	0
427.jpg	0	1	0	1	1	1	1	1	1	0	0
428.jpg	1	0	0	0	1	0	1	1	0	1	1
429.jpg	1	0	1	0	1	0	1	1	0	1	0
430.jpg	1	0	0	1	1	1	1	1	0	1	0
431.jpg	0	0	0	1	1	0	1	1	0	1	0
432.jpg	1	0	1	1	1	1	1	0	0	1	0
433.jpg	0	1	1	0	1	0	1	0	0	1	1
434.jpg	0	1	1	1	0	0	0	1	0	0	0
435.jpg	0	1	1	0	1	0	1	1	1	1	1
436.jpg	0	0	0	1	1	1	0	1	1	1	0
437.jpg	0	0	1	1	1	1	1	0	0	1	0
438.jpg	0	1	1	0	1	0	1	1	0	1	0
439.jpg	1	0	1	0	1	0	1	0	0	1	0
440.jpg	0	1	1	1	1	1	1	1	0	1	0
441.jpg	1	1	0	1	1	1	1	0	0	1	0
442.jpg	0	0	0	1	1	0	1	1	0	1	0
443.jpg	1	1	1	0	1	0	1	1	0	1	1
444.jpg	0	1	0	1	0	0	1	1	0	0	0
445.jpg	0	1	1	1	1	1	1	1	0	1	0
446.jpg	1	1	0	1	1	0	0	0	0	1	0
447.jpg	1	1	0	0	0	0	0	1	0	1	0
448.jpg	0	1	0	0	1	0	1	1	0	1	0
449.jpg	0	0	0	1	1	0	1	0	0	1	0
450.jpg	0	1	0	1	1	0	0	0	0	1	0
451.jpg	1	0	1	0	0	0	1	1	1	1	1
452.jpg	1	1	0	0	0	0	1	1	0	1	1
453.jpg	1	1	1	0	1	0	0	1	0	0	1
454.jpg	1	0	0	0	1	0	1	0	0	1	1
455.jpg	1	1	1	0	1	0	0	1	0	1	1
456.jpg	0	1	0	0	1	0	1	0	0	1	0
457.jpg	1	1	1	0	1	0	0	1	1	1	0
458.jpg	0	1	0	0	1	0	1	1	1	1	0
459.jpg	0	0	1	0	1	0	1	1	0	1	0
460.jpg	1	1	1	1	1	0	1	1	0	1	0
461.jpg	1	0	0	0	1	0	0	1	0	1	0
462.jpg	0	1	1	0	1	0	1	1	1	1	0
463.jpg	1	1	0	1	0	0	1	1	0	1	0
464.jpg	0	1	1	1	1	1	1	0	0	1	0
465.jpg	0	1	0	0	1	0	1	0	1	1	0
466.jpg	1	1	0	1	1	0	1	1	0	1	0
467.jpg	1	1	1	0	1	0	1	1	0	1	0
468.jpg	1	1	1	0	1	0	1	1	1	1	1
469.jpg	0	1	1	0	1	0	1	0	0	1	1
470.jpg	1	1	1	1	1	0	1	1	0	1	1
471.jpg	0	0	1	1	1	0	1	1	0	1	0
472.jpg	0	1	0	1	0	1	1	1	0	1	0
473.jpg	0	1	0	1	1	1	1	1	1	1	0
474.jpg	1	1	1	1	1	1	1	0	0	1	0
475.jpg	1	1	1	1	0	1	1	0	0	1	0
476.jpg	0	1	0	1	1	1	1	1	0	1	0
477.jpg	0	1	1	1	1	0	1	1	0	1	0
478.jpg	0	1	0	1	1	1	1	1	0	1	0
479.jpg	0	1	0	1	1	0	1	0	0	1	0
480.jpg	0	1	1	0	0	0	1	1	1	0	0
481.jpg	1	0	1	0	0	0	1	1	0	1	0
482.jpg	0	0	1	1	1	1	1	1	0	1	0
483.jpg	1	1	0	1	0	0	1	0	0	1	0
484.jpg	1	0	0	1	1	0	0	1	0	1	0
485.jpg	0	1	1	1	1	0	0	0	0	1	0
486.jpg	1	0	0	0	1	0	1	1	0	1	0
487.jpg	1	0	0	0	1	0	1	1	1	1	0
488.jpg	1	0	1	1	1	0	1	0	0	1	0
489.jpg	1	1	1	0	1	0	1	1	1	1	1
490.jpg	1	1	0	1	1	1	1	0	0	1	0
491.jpg	1	0	0	1	1	1	1	1	0	1	0
492.jpg	0	1	1	1	1	1	1	0	1	1	0
493.jpg	0	1	0	1	1	0	1	0	0	1	0
494.jpg	0	1	1	1	0	0	1	1	0	1	0
495.jpg	1	1	0	1	1	0	1	0	0	1	0
